country,exp,exp_f,exp_m,elec,elec_rural,elec_urban,lit,lit_f,lit_m,mort,mort_f,mort_m
Lebanon,74.39082927,76.057,72.804,95,94.48065,95.08454535,,,,17.1,16.5,17.7
Lesotho,47.18297561,47.646,46.742,5,2.680655,14.29363818,86.25443268,92.04645538,79.99578094,84.1,76.5,91.3
Liberia,52.40912195,53.097,51.754,0.5558459,0.5,0.625974826,,,,123,114.3,131.3
Libya,70.57253659,72.314,68.914,99.8,98.6,100,,,,24.2,21.4,26.8
Liechtenstein,76.82682927,79.9,73.9,100,100,100,,,,,,
Lithuania,72.0195122,77.5,66.8,100,100,100,,,,9.6,8.6,10.6
Low & middle income,65.50943028,67.22273176,63.9114493,74.08895374,60.68891191,93.12894414,76.75602857,70.12905294,83.38113394,59.6,56.2,62.8
Low income,52.15507054,53.52954908,50.86061893,17.0147919,4.410421034,45.30809924,53.76149324,44.01190491,64.21960679,92.6,85.3,99.5
Lower middle income,62.82752188,64.31074717,61.44880133,64.853027,50.13515954,92.86054035,67.17095859,58.1366823,76.10604896,65.7,62.7,68.5
Luxembourg,77.87317073,81.1,74.8,100,100,100,,,,3.9,3.5,4.2
"Macao SAR, China",77.62282927,80.045,75.316,84,68,84,,,,,,
"Macedonia, FYR",73.24219512,75.775,70.83,95.45585,93.28065,96.94500875,,,,14.2,13.1,15.3
Madagascar,58.47280488,59.699,57.305,11.39801,6.6,24.29112496,70.68617249,65.27857208,76.53832245,69.7,64.2,74.8
Malawi,44.07992683,44.125,44.037,4.8,1,27.00958248,,,,103.5,97.1,109.6
Malaysia,72.86778049,74.956,70.879,96.4,93,98.48590606,88.6877594,85.35422516,91.96924591,8.7,7.7,9.7
Maldives,70.05970732,70.996,69.168,96.35585,95.08066,99.68323706,96.32649231,96.44297791,96.21227264,35.6,31.8,39.2
Mali,48.89643902,48.584,49.194,16.7,2.2,53.84185483,,,,116,107.3,124.3
Malta,78.2,80.3,76.2,100,100,100,,,,6.8,6.2,7.4
Marshall Islands,65.23902439,67.8,62.8,52.53027,39.52079,58.55134836,,,,33.5,29.6,37.1
Mauritania,60.01739024,61.66,58.453,14.65585,1,35.14901598,51.20767975,43.4173584,59.54033279,76.2,67.2,84.7
Mauritius,71.66341463,75.3,68.2,99.4,98.9,100,84.30308533,80.50003052,88.2278595,16.4,14.1,18.5
Mexico,74.29973171,76.768,71.949,98,92.5,99.86061669,90.53562164,88.68203735,92.55937195,21.6,19.4,23.8
"Micronesia, Fed. Sts.",67.2752439,67.874,66.705,52.53027,39.52079,97.78088852,,,,42.2,37.9,46.2
Middle East & North Africa (all income levels),69.9010077,71.59108556,68.30051759,90.50083693,82.72031383,95.99071818,70.37234009,60.62575703,79.58378256,34.19341707,31.65840574,36.62736841
Middle East & North Africa (developing only),69.3649662,71.09906719,67.71634621,90.23070309,82.44707802,96.48428004,68.04582128,57.9885729,77.95216442,36,33.4,38.5
Middle income,66.80052008,68.57994688,65.1433916,79.60667818,67.49614189,96.00962423,78.62692348,72.31828763,84.89387004,53.1,50.3,55.7
Moldova,66.898,70.972,63.018,95.05585,93.28065,97.26190098,96.65379333,95.49230194,97.97762299,26,22.8,29
Monaco,,,,100,100,100,,,,4.2,3.8,4.7
Mongolia,62.91387805,65.88,60.089,82.65585,62.38065,97.86837163,97.76885223,97.52880096,98.01677704,48.2,38.7,57
Montenegro,74.02136585,77.45,70.756,100,100,100,,,,12.5,11.6,13.4
Morocco,68.49760976,70.089,66.982,71.1,56.1006,84.22359616,,,,42.2,38,46.1
Mozambique,48.68660976,50.509,46.951,7.1,0.1,24.15663619,,,,115,109.3,120.3
Myanmar,62.078,64.199,60.058,47,23.68065,100,89.94176483,86.41518402,93.924263,60.7,54.1,67
Namibia,55.12070732,57.191,53.149,36.5,13.2,85.17355821,,,,49.4,44.8,53.8
Nepal,62.32663415,63.434,61.272,72.75585,17.4,100,,,,59.6,56.1,63
Netherlands,77.98780488,80.6,75.5,100,100,100,,,,5.1,4.6,5.6
New Caledonia,75.16341463,78.8,71.7,52.53027,39.52079,60.57854332,,,,,,
New Zealand,78.63658537,81.3,76.1,100,100,100,,,,6.1,5.4,6.7
Nicaragua,69.65807317,72.469,66.981,72,40.1,98.37867804,,,,32.6,29.1,36
Niger,50.69795122,50.658,50.736,6.7,0.2,40.35816137,,,,101.1,94.3,107.6
Nigeria,46.624,47.191,46.084,44.9,27.9,68.04072867,,,,112,102.6,120.9
North America,76.89243196,79.55478504,74.35653852,100,100,100,,,,6.953846322,6.26923092,7.546154023
Northern Mariana Islands,,,,,,,,,,,,
Norway,78.63414634,81.4,76,100,100,100,,,,4,3.5,4.4
OECD members,77.08322334,80.18127566,74.13604813,99.72481683,99.04381098,99.93173136,,,,10.70058573,9.70911161,11.65772287
Oman,72.35658537,74.453,70.36,90.89918,86.9258,92.47761713,,,,14.3,12.7,15.7
Other small states,56.35376358,57.67095175,55.10062912,48.47000677,27.95542265,73.29214864,73.14723932,69.61179137,76.88275652,68.60091136,62.32793062,74.56757087
Pacific island small states,66.70544978,68.84908855,64.66903928,46.48448208,33.68850478,69.89441977,86.40530987,83.57330205,89.16982273,25.1888649,22.97451827,27.24038831
Pakistan,62.77317073,63.606,61.98,79.5,65.9006,100,,,,87.7,82.4,92.7
Palau,70.49365854,74.54,66.64,52.53027,39.52079,58.11559011,,,,22.9,20.2,25.4
Panama,75.10197561,77.686,72.641,85.4112,72.26502,92.24796496,91.89961243,91.24717712,92.54792786,21.9,19.4,24.2
Papua New Guinea,58.79929268,61.013,56.691,11,2.9,64.24504696,57.34325409,50.91773605,63.44521713,58.3,53.5,62.9
Paraguay,70.07468293,72.314,67.942,93.2499,82.6,100,,,,27.7,24.9,30.4
Peru,70.50743902,73.177,67.965,72.8615,30.8,88.38536185,,,,29.6,26.8,32.2
Philippines,66.68212195,69.806,63.707,71.3,51.9,92.32508856,92.60006714,92.65490723,92.54499817,29.9,26.1,33.6
Poland,73.74878049,78,69.7,100,100,100,,,,8.1,7.3,8.8
Portugal,76.31463415,79.9,72.9,100,100,100,,,,5.5,5,6
Puerto Rico,76.68926829,80.92,72.66,85.4112,72.26502,86.15471539,,,,,,
Qatar,76.4955122,77.713,75.336,90.89918,86.9258,91.05137236,,,,10.6,9.7,11.5
Romania,71.16341463,74.8,67.7,100,100,100,,,,23.2,20.6,25.7
Russian Federation,65.34146341,72,59,100,100,100,,,,19.7,16.9,22.4
Rwanda,48.19236585,53.763,42.887,6.2,0.9,39.38388034,64.88859558,59.75033569,71.41938019,109.2,101.5,116.5
Samoa,69.48731707,72.792,66.34,89.44801,84.1006,100,,,,18.5,16.7,20.1
San Marino,80.6195122,84,77.4,100,100,100,,,,4.9,4.5,5.3
Sao Tome and Principe,63.29253659,65.139,61.534,52.9,39,65.01826894,,,,58.5,53.1,63.6
Saudi Arabia,72.52621951,74.218,70.915,90.89918,86.9258,91.90197974,79.35094452,69.2911911,87.06077576,19.4,17.9,20.9
Senegal,57.76580488,59.391,56.218,36.8,9.6,77.01851531,,,,68.5,62.2,74.5
Serbia,71.58292683,74.4,68.9,100,100,100,,,,10.9,9.6,12.2
Seychelles,,,,99.4,11.3017,100,,,,12.3,11.3,13.2
Sierra Leone,38.69014634,39.755,37.676,8.555846,0.1,23.70188126,,,,143.3,134.7,151.3
Singapore,77.95121951,80,76,100,99,100,92.54940033,88.64517212,96.56510162,3.1,2.8,3.4
Sint Maarten (Dutch part),,,,,,,,,,,,
